Designator,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,Comment
,,,,,,,,,,
C1,C_0402_1005Metric,2.2450mm,10.3000mm,,,,,top,0,C_0402_2.2uF_10V_X5R
C2,C_0402_1005Metric,2.2450mm,9.2250mm,,,,,top,0,C_0402_2.2uF_10V_X5R
C3,C_0402_1005Metric,16.3000mm,9.5200mm,,,,,top,-90,C_0402_1uF_10V_X7R
C4,C_0402_1005Metric,3.3000mm,15.6000mm,,,,,top,180,C_0402_100nF_16V_X7R
C5,C_0402_1005Metric,1.8000mm,16.0450mm,,,,,top,90,C_0402_2.2uF_10V_X5R
C6,C_0402_1005Metric,7.1000mm,9.7750mm,,,,,top,90,C_0402_2.2uF_10V_X5R
C7,C_0402_1005Metric,4.1000mm,24.4250mm,,,,,top,-90,C_0402_22nF_50V_X7R
C8,C_0402_1005Metric,14.1000mm,17.9200mm,,,,,top,90,C_0402_100nF_16V_X7R
C9,C_0402_1005Metric,4.0000mm,9.7750mm,,,,,top,-90,C_0402_2.2uF_10V_X5R
C10,C_0402_1005Metric,6.1000mm,9.7750mm,,,,,top,-90,C_0402_2.2uF_10V_X5R
C11,C_0402_1005Metric,14.1000mm,15.2950mm,,,,,top,90,C_0402_100nF_16V_X7R
C12,C_0402_1005Metric,3.3950mm,18.2750mm,,,,,top,180,C_0402_100nF_16V_X7R
C13,C_0402_1005Metric,10.8050mm,24.4250mm,,,,,top,-90,C_0402_15pF_50V_C0G
C14,C_0402_1005Metric,3.3000mm,16.6750mm,,,,,top,180,C_0402_100nF_16V_X7R
C15,C_0402_1005Metric,5.1500mm,24.4000mm,,,,,top,90,C_0402_100nF_16V_X7R
C16,C_0402_1005Metric,6.1800mm,26.3700mm,,,,,top,90,C_0402_15pF_50V_C0G
C17,C_0402_1005Metric,11.6500mm,9.8000mm,,,,,top,-90,C_0402_22nF_50V_X7R
C18,C_0402_1005Metric,10.6000mm,9.8000mm,,,,,top,-90,C_0402_100nF_16V_X7R
C19,C_0402_1005Metric,9.5500mm,9.8000mm,,,,,top,90,C_0402_2.2uF_10V_X5R
D1,D_0402_1005Metric,6.9294mm,7.7450mm,,,,,top,90,PESD0402-140_
D2,D_0402_1005Metric,10.1226mm,7.7400mm,,,,,top,-90,PESD0402-140_
D3,LED_0603_1608Metric,2.5000mm,25.8000mm,,,,,top,-90,NCD0603G1
F1,Fuse_0603_1608Metric,2.6875mm,7.3500mm,,,,,top,180,BSMD0603-020-16V
H1,MountingHole-M1,9.0000mm,28.3000mm,,,,,top,0,MountingHole_Pad
H2,MountingHole-M1,16.2000mm,4.7000mm,,,,,top,0,MountingHole_Pad
H3,MountingHole-M1,1.8000mm,4.7000mm,,,,,top,0,MountingHole_Pad
J1,GT-USB-8016A,9.0000mm,4.8100mm,,,,,top,0,GT-USB-8016A
R1,R_0402_1005Metric,11.1870mm,7.7450mm,,,,,top,90,R_0402_5.1K_5%
R2,R_0402_1005Metric,9.0582mm,7.7450mm,,,,,top,90,R_0402_27_5%
R3,R_0402_1005Metric,7.9938mm,7.7450mm,,,,,top,90,R_0402_27_5%
R4,R_0402_1005Metric,5.0750mm,9.7750mm,,,,,top,-90,R_0402_200_5%
R5,R_0402_1005Metric,6.1800mm,24.4200mm,,,,,top,90,R_0402_1K_5%
R6,R_0402_1005Metric,16.3000mm,11.5900mm,,,,,top,90,R_0402_1K_5%
R7,R_0402_1005Metric,2.3000mm,23.2000mm,,,,,top,0,R_0402_470_5%
SW1,SW_Push_1P1T_XKB_TS-1187A,14.5000mm,25.8000mm,,,,,top,90,TS-1187A-C-H-B
U1,USON8-2x3mm-EP0.2x1.6mm,14.6250mm,10.2000mm,,,,,top,-90,W25Q16JVUXIQ
U2,SOT-23-5,2.7000mm,12.9375mm,,,,,top,90,RT9013-33GB
U4,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,9.2000mm,17.4000mm,,,,,top,180,RP2040
Y1,Crystal_SMD_2520-4Pin_2.5x2.0mm,8.4800mm,25.0200mm,,,,,top,180,X322512MMB4SI
